Feature;Coefficient
Pclass;-1.105001951093725
Title_group;-0.022576545817791126
Sex_female;1.3133370850149237
Sex_male;-1.3133370850149229
Embarked_C;0.041847002159066504
Embarked_Q;0.1885418114030256
Embarked_S;-0.23038881356209412
Ticket_String_6_0;0.2224869951109067
Ticket_String_6_1;-0.22248699511090272
Age;-2.3845884230926258
SibSp;-1.6131207240790455
Parch;-0.39680120947535424
Fare;0.22468272713422208
