mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.18873095512390137;0.020454055898242514;0.008895444869995116;0.0006857427716070202;8;sqrt;13;17;112;{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 13, 'min_samples_split': 17, 'n_estimators': 112};0.7877094972067039;0.848314606741573;0.8089887640449438;0.7303370786516854;0.8202247191011236;0.799114933149206;0.03955806041607574;96
0.1754457473754883;0.0027418716606971262;0.008089828491210937;0.0005027083731987907;2;sqrt;10;2;120;{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 120};0.7877094972067039;0.8202247191011236;0.8146067415730337;0.7191011235955056;0.797752808988764;0.7878789780930261;0.03630023369516154;185
0.2876622676849365;0.02479454508613779;0.010459566116333007;0.0014331239575574568;18;;7;18;133;{'max_depth': 18, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 18, 'n_estimators': 133};0.7932960893854749;0.848314606741573;0.8146067415730337;0.7921348314606742;0.8370786516853933;0.8170861841692298;0.022669800974584247;26
0.32210826873779297;0.011052685364002831;0.011017704010009765;0.0004473626549688172;6;;16;6;173;{'max_depth': 6, 'max_features': None, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 173};0.7430167597765364;0.8202247191011236;0.8033707865168539;0.7752808988764045;0.8202247191011236;0.7924235766744083;0.029666659407023142;155
0.03745388984680176;0.0005932064872939681;0.003069496154785156;0.0005196694780236052;3;log2;12;3;24;{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 12, 'min_samples_split': 3, 'n_estimators': 24};0.7821229050279329;0.8258426966292135;0.8202247191011236;0.7191011235955056;0.8089887640449438;0.7912560416797438;0.039088660257068614;162
0.00851297378540039;0.0002967579111694631;0.00199737548828125;0.00023339016709989898;2;sqrt;2;20;4;{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 4};0.7318435754189944;0.8202247191011236;0.7921348314606742;0.702247191011236;0.797752808988764;0.7688406251961585;0.044322289409147266;199
0.29317712783813477;0.017643980051737288;0.010618162155151368;0.0008026137636401692;14;;3;9;130;{'max_depth': 14, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 130};0.7988826815642458;0.8651685393258427;0.8202247191011236;0.7865168539325843;0.8595505617977528;0.8260686711443099;0.031582947117780244;3
0.09046072959899902;0.004907716990531551;0.00520167350769043;0.0015895682013212901;17;sqrt;13;17;55;{'max_depth': 17, 'max_features': 'sqrt', 'min_samples_leaf': 13, 'min_samples_split': 17, 'n_estimators': 55};0.8100558659217877;0.8258426966292135;0.8202247191011236;0.7303370786516854;0.8202247191011236;0.8013370158809867;0.03586371003506652;87
0.03785605430603027;0.001774476326071614;0.0031078815460205077;0.0008662513729948541;12;;14;2;18;{'max_depth': 12, 'max_features': None, 'min_samples_leaf': 14, 'min_samples_split': 2, 'n_estimators': 18};0.776536312849162;0.8089887640449438;0.8033707865168539;0.7808988764044944;0.8314606741573034;0.8002510827945516;0.019985076550788978;89
0.2234498977661133;0.018937474202907482;0.009515047073364258;3.963776100277024e-06;9;log2;9;20;136;{'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 9, 'min_samples_split': 20, 'n_estimators': 136};0.7877094972067039;0.8370786516853933;0.8146067415730337;0.7359550561797753;0.8202247191011236;0.799114933149206;0.035344354978138585;96
0.02874159812927246;0.0012134090727061828;0.0030068397521972657;0.0003190469142826133;10;sqrt;18;16;18;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 18, 'min_samples_split': 16, 'n_estimators': 18};0.7821229050279329;0.8258426966292135;0.8089887640449438;0.7191011235955056;0.797752808988764;0.786761659657272;0.03671959468340216;192
0.31624884605407716;0.02335174892465402;0.013133382797241211;0.0007353510126212207;6;sqrt;12;18;197;{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 18, 'n_estimators': 197};0.7988826815642458;0.8370786516853933;0.8146067415730337;0.7359550561797753;0.8202247191011236;0.8013495700207143;0.034903063206904984;84
0.13593101501464844;0.005820085236322313;0.009819555282592773;0.007146599957940323;12;;2;3;59;{'max_depth': 12, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 59};0.8100558659217877;0.8707865168539326;0.8258426966292135;0.8089887640449438;0.8426966292134831;0.8316740945326722;0.02309655853041615;1
0.04213814735412598;0.0009269707413855257;0.003102397918701172;0.0002061878608989731;9;log2;15;14;27;{'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 15, 'min_samples_split': 14, 'n_estimators': 27};0.7877094972067039;0.8370786516853933;0.8202247191011236;0.7247191011235955;0.8089887640449438;0.7957441466323519;0.03896760784985038;129
0.08601317405700684;0.0015945447874405891;0.005310583114624024;0.0006801383550554241;20;sqrt;7;12;55;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 12, 'n_estimators': 55};0.776536312849162;0.8314606741573034;0.8202247191011236;0.7640449438202247;0.8314606741573034;0.8047454648170234;0.028702964298269094;67
0.15965089797973633;0.0030950308212471574;0.007570648193359375;0.00041877919303751906;7;log2;18;4;105;{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 18, 'min_samples_split': 4, 'n_estimators': 105};0.7932960893854749;0.8370786516853933;0.8089887640449438;0.7134831460674157;0.8033707865168539;0.7912434875400163;0.04150593300051216;168
0.081699800491333;0.010484602022171273;0.004201364517211914;0.00040342963817329125;12;;2;6;32;{'max_depth': 12, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 32};0.8044692737430168;0.8707865168539326;0.8202247191011236;0.7865168539325843;0.8595505617977528;0.8283095850856821;0.03212676839804262;2
0.09524950981140137;0.012583400543416797;0.005710887908935547;0.0005126187831167302;12;sqrt;3;7;50;{'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 50};0.8044692737430168;0.8539325842696629;0.8146067415730337;0.7921348314606742;0.8370786516853933;0.8204444165463561;0.02231085565606935;15
0.14525942802429198;0.0053339115251323545;0.006311464309692383;0.0005061094743076646;14;;19;20;78;{'max_depth': 14, 'max_features': None, 'min_samples_leaf': 19, 'min_samples_split': 20, 'n_estimators': 78};0.7374301675977654;0.8146067415730337;0.8202247191011236;0.7752808988764045;0.7921348314606742;0.7879354717218001;0.02994164562136695;183
0.13666443824768065;0.004083087647254906;0.006709384918212891;0.0011274311127435156;15;;7;14;65;{'max_depth': 15, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 14, 'n_estimators': 65};0.776536312849162;0.8370786516853933;0.8146067415730337;0.8089887640449438;0.8426966292134831;0.8159814198732033;0.023518074089226668;30
0.26160502433776855;0.024001680927053116;0.011102533340454102;0.0008113610976013666;12;log2;14;3;158;{'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 14, 'min_samples_split': 3, 'n_estimators': 158};0.7988826815642458;0.8370786516853933;0.8146067415730337;0.7303370786516854;0.8146067415730337;0.7991023790094782;0.03647377853643551;99
0.07806553840637206;0.0038569944980463553;0.00471200942993164;0.0003975026951425235;14;sqrt;12;8;48;{'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 8, 'n_estimators': 48};0.7932960893854749;0.8202247191011236;0.8314606741573034;0.7415730337078652;0.8146067415730337;0.8002322515849603;0.03184510412659685;90
0.2340442180633545;0.01847542949236342;0.010516119003295899;0.0011005475305974944;10;sqrt;9;17;145;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 17, 'n_estimators': 145};0.7932960893854749;0.8314606741573034;0.8202247191011236;0.7359550561797753;0.8146067415730337;0.7991086560793421;0.033926081285853144;98
0.13522915840148925;0.009339315596179131;0.007315492630004883;0.0011656660616944333;2;sqrt;19;19;90;{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 19, 'min_samples_split': 19, 'n_estimators': 90};0.7877094972067039;0.8202247191011236;0.8033707865168539;0.7191011235955056;0.797752808988764;0.7856317870817902;0.03489672844840663;195
0.05237703323364258;0.006334878616753751;0.0035028457641601562;0.0004472902077184645;8;;2;7;22;{'max_depth': 8, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 22};0.7988826815642458;0.8707865168539326;0.8258426966292135;0.797752808988764;0.8370786516853933;0.8260686711443098;0.027062233980088782;4
0.19106559753417968;0.011712452874448949;0.008299589157104492;0.0003918493014371698;2;sqrt;5;3;127;{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 127};0.7821229050279329;0.8202247191011236;0.8146067415730337;0.7191011235955056;0.797752808988764;0.786761659657272;0.03637415698691088;192
0.07662277221679688;0.017822382043386212;0.003691291809082031;0.0005991912392767085;12;;18;2;36;{'max_depth': 12, 'max_features': None, 'min_samples_leaf': 18, 'min_samples_split': 2, 'n_estimators': 36};0.7597765363128491;0.8146067415730337;0.8370786516853933;0.7696629213483146;0.8033707865168539;0.7968991274872889;0.02859976864360958;116
0.22030129432678222;0.010198061355371092;0.007708263397216797;0.0005091592375882337;4;;8;18;118;{'max_depth': 4, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 18, 'n_estimators': 118};0.776536312849162;0.8314606741573034;0.8258426966292135;0.8033707865168539;0.8258426966292135;0.8126106333563493;0.020455954657675614;36
0.08692460060119629;0.0011227539459704007;0.005206632614135742;0.00025264029656316454;9;sqrt;14;20;57;{'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 14, 'min_samples_split': 20, 'n_estimators': 57};0.7877094972067039;0.8258426966292135;0.8202247191011236;0.7415730337078652;0.8089887640449438;0.7968677421379701;0.030572516295809288;119
0.27593469619750977;0.025543628876207407;0.011630058288574219;0.0009038097711382005;13;log2;18;5;161;{'max_depth': 13, 'max_features': 'log2', 'min_samples_leaf': 18, 'min_samples_split': 5, 'n_estimators': 161};0.8100558659217877;0.8314606741573034;0.8146067415730337;0.7134831460674157;0.8089887640449438;0.7957190383528967;0.04190126987951163;136
0.31479692459106445;0.011261867165319857;0.014924430847167968;0.002640024343349296;12;log2;16;8;198;{'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 16, 'min_samples_split': 8, 'n_estimators': 198};0.7877094972067039;0.8370786516853933;0.8146067415730337;0.7247191011235955;0.8146067415730337;0.795744146632352;0.038805280477497796;128
0.021935224533081055;0.000491656964247923;0.0029029369354248045;0.000492463081197009;9;sqrt;11;19;13;{'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 11, 'min_samples_split': 19, 'n_estimators': 13};0.7821229050279329;0.8426966292134831;0.8146067415730337;0.7303370786516854;0.8202247191011236;0.7979976147134518;0.03898169752470318;106
0.2951052188873291;0.009812988242652455;0.013120508193969727;0.0007979226449719246;6;sqrt;10;14;189;{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 14, 'n_estimators': 189};0.8044692737430168;0.8314606741573034;0.8202247191011236;0.7415730337078652;0.8202247191011236;0.8035904839620865;0.03217787894300368;71
0.04266786575317383;0.002153074405773241;0.0032070159912109377;0.0005074192531336275;16;;11;8;21;{'max_depth': 16, 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 8, 'n_estimators': 21};0.7597765363128491;0.8146067415730337;0.8033707865168539;0.8033707865168539;0.8258426966292135;0.8013935095097608;0.02241492341792823;79
0.05468516349792481;0.0015005724699713014;0.0037261009216308593;0.0006740320277429626;10;;14;8;27;{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 14, 'min_samples_split': 8, 'n_estimators': 27};0.7653631284916201;0.8202247191011236;0.797752808988764;0.7696629213483146;0.8258426966292135;0.7957692549118072;0.02494990696668074;126
0.13033180236816405;0.014200662435678291;0.0063703060150146484;0.00021465803301166028;15;sqrt;19;6;80;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 19, 'min_samples_split': 6, 'n_estimators': 80};0.7988826815642458;0.8258426966292135;0.8146067415730337;0.7191011235955056;0.797752808988764;0.7912372104701525;0.03754516197372559;169
0.1663144588470459;0.005120630150440648;0.00901327133178711;0.0017914012504968283;13;log2;7;11;106;{'max_depth': 13, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 11, 'n_estimators': 106};0.8044692737430168;0.8314606741573034;0.8146067415730337;0.7415730337078652;0.8314606741573034;0.8047140794677045;0.03321288005578118;68
0.3253917217254639;0.02839059490172225;0.01141343116760254;0.0013598535060397466;18;;11;10;157;{'max_depth': 18, 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 10, 'n_estimators': 157};0.770949720670391;0.8314606741573034;0.8146067415730337;0.8033707865168539;0.8370786516853933;0.8114933149205952;0.02354891428567684;40
0.1944504737854004;0.017968108721210015;0.00801072120666504;0.00031596967998806936;16;log2;17;16;107;{'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 17, 'min_samples_split': 16, 'n_estimators': 107};0.7988826815642458;0.8258426966292135;0.8146067415730337;0.7191011235955056;0.8146067415730337;0.7946079969870065;0.038717094130030535;143
0.25220279693603515;0.015353679395898562;0.014544296264648437;0.004821974040724452;13;log2;2;18;145;{'max_depth': 13, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 145};0.776536312849162;0.8314606741573034;0.8146067415730337;0.7752808988764045;0.8314606741573034;0.8058690603226413;0.025227977191849323;62
0.3295557975769043;0.01813200864851864;0.011156463623046875;0.0006146081303371349;7;;8;12;161;{'max_depth': 7, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 161};0.7932960893854749;0.8314606741573034;0.8146067415730337;0.8089887640449438;0.848314606741573;0.8193333751804657;0.018943470957806168;19
0.006115150451660156;0.0008004676523767253;0.0024002552032470702;0.0004902920864199256;17;log2;18;17;2;{'max_depth': 17, 'max_features': 'log2', 'min_samples_leaf': 18, 'min_samples_split': 17, 'n_estimators': 2};0.7653631284916201;0.7921348314606742;0.8258426966292135;0.7865168539325843;0.8033707865168539;0.7946456594061893;0.01989588563876663;141
